

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
078.009  000.757  000.187: require('neorg.modules')
078.012  001.016  000.126: require('neorg.events')
078.014  001.203  000.123: require('neorg')
078.723  000.658  000.658: require('vim.filetype')
078.824  000.070  000.070: require('neorg.modules.core.defaults.module')
079.227  000.387  000.387: require('neorg.modules.core.autocommands.module')
079.356  000.122  000.122: require('neorg.modules.core.clipboard.module')
079.756  000.382  000.382: require('neorg.modules.core.integrations.treesitter.module')
080.075  000.313  000.313: require('neorg.modules.core.highlights.module')
081.736  000.128  000.128: require('neorg.modules.core.mode.module')
082.033  000.287  000.287: require('neorg.modules.core.keybinds.module')
082.277  000.224  000.224: require('neorg.modules.core.neorgcmd.module')
082.382  000.093  000.093: require('neorg.modules.core.neorgcmd.commands.module.list.module')
082.641  000.253  000.253: require('neorg.modules.core.ui.module')
083.103  000.301  000.301: require('neorg.modules.core.ui.selection_popup')
083.549  000.094  000.094: require('neorg.modules.core.ui.text_popup')
083.800  000.070  000.070: require('neorg.modules.core.neorgcmd.commands.module.load.module')
083.874  000.068  000.068: require('neorg.modules.core.neorgcmd.commands.return.module')
084.123  000.093  000.093: require('neorg.modules.core.keybinds.keybinds')
084.659  000.071  000.071: require('neorg.modules.core.clipboard.code-blocks.module')
084.815  000.114  000.114: require('neorg.modules.core.itero.module')
085.018  000.170  000.170: require('neorg.modules.core.looking-glass.module')
085.885  000.102  000.102: require('plenary.functional')
085.892  000.468  000.366: require('plenary.job')
085.900  000.856  000.388: require('neorg.modules.core.norg.esupports.hop.module')
086.018  000.108  000.108: require('neorg.modules.core.norg.dirman.utils.module')
086.205  000.166  000.166: require('neorg.modules.core.norg.esupports.indent.module')
086.426  000.203  000.203: require('neorg.modules.core.norg.esupports.metagen.module')
086.750  000.291  000.291: require('neorg.modules.core.norg.journal.module')
088.071  000.198  000.198: require('plenary.bit')
088.098  000.018  000.018: require('ffi')
088.110  000.720  000.504: require('plenary.path')
088.140  001.116  000.396: require('plenary.scandir')
088.165  001.409  000.293: require('neorg.modules.core.norg.dirman.module')
088.290  000.100  000.100: require('neorg.modules.core.storage.module')
088.676  000.214  000.214: require('neorg.modules.core.norg.news.module')
089.138  000.238  000.238: require('neorg.modules.core.norg.qol.toc.module')
089.381  000.226  000.226: require('neorg.modules.core.norg.qol.todo_items.module')
089.627  000.203  000.203: require('neorg.modules.core.promo.module')
090.019  000.342  000.342: require('neorg.modules.core.syntax.module')
095.210  000.198  000.198: require('neorg.modules.core.tangle.module')
095.606  000.369  000.369: require('neorg.modules.core.upgrade.module')
095.736  000.097  000.097: require('neorg.modules.core.fs.module')
105.268  009.465  009.465: require('neorg.modules.core.norg.completion.module')
105.424  000.141  000.141: require('neorg.modules.core.integrations.nvim-cmp.module')
106.397  000.931  000.931: require('neorg.modules.core.norg.concealer.module')
106.816  000.223  000.223: require('neorg.modules.core.norg.concealer.preset_basic')
107.704  000.106  000.106: require('neorg.modules.core.norg.concealer.preset_varied')
108.450  000.109  000.109: require('neorg.modules.core.norg.concealer.preset_diamond')
109.535  000.251  000.251: require('neorg.modules.core.presenter.module')
109.796  000.251  000.251: require('neorg.modules.core.queries.native.module')
109.886  000.071  000.071: require('neorg.modules.core.integrations.zen_mode.module')
110.803  000.057  000.057: require('nvim-autopairs._log')
110.971  000.164  000.164: require('nvim-autopairs.utils')
111.437  000.219  000.219: require('nvim-autopairs.conds')
111.443  000.368  000.148: require('nvim-autopairs.rule')
111.445  000.472  000.105: require('nvim-autopairs.rules.basic')
111.454  001.154  000.460: require('nvim-autopairs')
111.810  000.070  000.070: require('leap')
111.904  000.092  000.092: require('leap.user')
112.661  000.070  000.070: require('nvim-ts-autotag._log')
112.667  000.160  000.090: require('nvim-ts-autotag.utils')
